skift,maal,mean,lo,hi,sd,scenario,kilde
Natt_helg,Svikt,18.02612964966298,17.41678455521345,18.625280852126153,0.3153352472691118,S2_pluss1_dag,trace
Natt_helg,overloep_pst,3.9024576294693625,3.5861695930764754,4.219439127902138,0.15222097402847423,S2_pluss1_dag,trace
Natt_helg,vl_pst,13.864317217275527,13.355246733793791,14.421444620121493,0.2638992823833869,S2_pluss1_dag,trace
Natt_helg,ventet_pst,4.151549194197109,3.9100857119081307,4.410834650911209,0.1372712391666076,S2_pluss1_dag,trace
Natt_helg,dpri1_makkerpar_pst,78.91017924023542,78.00762439807384,79.8164125200642,0.47079302151594526,S2_pluss1_dag,trace
Dag_hverdag,Normal,79.48535407388823,78.79116226557109,80.00423383303017,0.3086492724982926,S5a_overlop_60s,trace
Dag_hverdag,Brudd,15.197578874741264,14.745970018189801,15.718967571975162,0.2559152638671375,S5a_overlop_60s,trace
Dag_hverdag,Svikt,5.317067051370507,4.967383804804617,5.640563256601643,0.17006845553228175,S5a_overlop_60s,trace
Dag_hverdag,overloep_pst,0.9863785569424408,0.8215204164837232,1.1608542934203097,0.08600012673025001,S5a_overlop_60s,trace
Dag_hverdag,vl_pst,3.746785423069686,3.53070312990027,3.970708147776454,0.12187687198574985,S5a_overlop_60s,trace
Dag_hverdag,ventet_pst,1.550366932195948,1.3604716803612873,1.7383804804616445,0.09840363801591447,S5a_overlop_60s,trace
Dag_hverdag,dpri1_makkerpar_pst,80.748629795715,79.8692077727952,81.51594419531638,0.47131983523734444,S5a_overlop_60s,trace
Natt_helg,Normal,71.77110204987379,71.25655321627694,72.32254306399267,0.2993185668398845,S5a_overlop_60s,trace
Natt_helg,Brudd,10.218579234972678,9.908879087958725,10.61100940334526,0.2056937799935063,S5a_overlop_60s,trace
Natt_helg,Svikt,18.010318715153534,17.41616043937755,18.599276025630356,0.3086260010286814,S5a_overlop_60s,trace
Natt_helg,overloep_pst,3.7165404565754074,3.4116251976366816,4.019930099026379,0.1524722618734225,S5a_overlop_60s,trace
Natt_helg,vl_pst,13.822778841086238,13.320920362819338,14.330739785304152,0.2612652345910457,S5a_overlop_60s,trace
Natt_helg,ventet_pst,4.177276635876952,3.961055171839893,4.411042689523176,0.13004926484393992,S5a_overlop_60s,trace
Natt_helg,dpri1_makkerpar_pst,78.84162653825575,77.88824237560193,79.81540930979133,0.470503709613467,S5a_overlop_60s,trace
Dag_hverdag,Normal,79.50432791820862,78.81013610989149,80.01097660415229,0.30623124071784896,S5b_overlop_ko15,trace
Dag_hverdag,Brudd,15.29056639277426,14.802577933889483,15.813366367684875,0.25627236042441404,S5b_overlop_ko15,trace
Dag_hverdag,Svikt,5.205105689017123,4.860753935896632,5.540362541554287,0.1714027129883819,S5b_overlop_ko15,trace
Dag_hverdag,overloep_pst,1.1385351983106482,0.9722135106316252,1.3173493069058522,0.08403039894046288,S5b_overlop_ko15,trace
Dag_hverdag,vl_pst,3.7005791465428923,3.4806811766919656,3.9393464216270466,0.1256943479155509,S5b_overlop_ko15,trace
Dag_hverdag,ventet_pst,1.5038993079512428,1.3419682619331368,1.6761274540550706,0.09299742336426335,S5b_overlop_ko15,trace
Dag_hverdag,dpri1_makkerpar_pst,80.75984055804683,79.8704534130543,81.51594419531638,0.46837098215803813,S5b_overlop_ko15,trace
Natt_helg,Normal,71.83337494105572,71.37305483897812,72.35021219938422,0.3003732508983411,S5b_overlop_ko15,trace
Natt_helg,Brudd,10.195556295248396,9.83502538071066,10.587084962969127,0.20391130297603016,S5b_overlop_ko15,trace
Natt_helg,Svikt,17.971068763695875,17.366439211117587,18.56640592493967,0.3096612627118972,S5b_overlop_ko15,trace
Natt_helg,overloep_pst,3.894482816010651,3.5863776316884417,4.162228509611383,0.14907516109109462,S5b_overlop_ko15,trace
Natt_helg,vl_pst,13.816537682727247,13.320920362819338,14.330739785304152,0.2598823172412133,S5b_overlop_ko15,trace
